epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.86864,1.82165,3.05888,1.56211,0.02165,0.65217,0.30401,0.19134,1.45397,3.13186,1.0179,1.667e-05,1.667e-05,1.667e-05
2,5.33633,1.56552,2.97073,1.4234,0.02011,0.63043,0.49115,0.3211,1.41633,3.13782,1.004,4.90198e-05,4.90198e-05,4.90198e-05
3,7.75987,1.63087,2.89013,1.52917,0.01878,0.6087,0.54251,0.37464,1.40177,3.13722,0.99178,8.00493e-05,8.00493e-05,8.00493e-05
4,10.1405,1.63583,2.91959,1.49538,0.01901,0.6087,0.5419,0.37091,1.42797,3.13319,0.9947,0.000109759,0.000109759,0.000109759
5,12.3555,1.56457,2.94492,1.37348,0.01899,0.6087,0.54051,0.40296,1.44296,3.11026,0.99147,0.000138148,0.000138148,0.000138148
6,14.5185,1.8225,2.91256,1.55498,0.01899,0.6087,0.54051,0.40296,1.44296,3.11026,0.99147,0.000165216,0.000165216,0.000165216
7,17.329,1.32957,2.72692,1.26442,0.01906,0.6087,0.54493,0.43576,1.40749,3.10388,0.99153,0.000190965,0.000190965,0.000190965
8,20.702,1.39608,2.70721,1.26402,0.02914,0.76087,0.5673,0.45839,1.38435,3.1285,1.0263,0.000215393,0.000215393,0.000215393
9,24.7868,1.58542,2.75361,1.31761,0.02914,0.76087,0.5673,0.45839,1.38435,3.1285,1.0263,0.000238501,0.000238501,0.000238501
10,28.6362,1.4716,2.71202,1.31768,0.02771,0.73913,0.56659,0.45067,1.37038,3.16365,1.06229,0.000260289,0.000260289,0.000260289
11,32.4755,1.39949,2.51978,1.40172,0.02771,0.73913,0.56659,0.45067,1.37038,3.16365,1.06229,0.000280756,0.000280756,0.000280756
12,36.2972,1.26929,2.51673,1.2519,0.02625,0.71739,0.56894,0.43657,1.45579,3.14884,1.10944,0.000299903,0.000299903,0.000299903
13,40.1978,1.3837,2.39161,1.33742,0.02625,0.71739,0.56894,0.43657,1.45579,3.14884,1.10944,0.00031773,0.00031773,0.00031773
14,43.6205,1.43036,2.43533,1.24317,0.02625,0.71739,0.56894,0.43657,1.45579,3.14884,1.10944,0.000334237,0.000334237,0.000334237
15,47.2514,1.42735,2.46082,1.26359,0.02914,0.76087,0.57197,0.44429,1.4418,3.11454,1.1271,0.000349423,0.000349423,0.000349423
16,51.0043,1.39369,2.34032,1.31532,0.02914,0.76087,0.57197,0.44429,1.4418,3.11454,1.1271,0.000363289,0.000363289,0.000363289
17,54.9883,1.41263,2.27925,1.21903,0.02914,0.76087,0.57197,0.44429,1.4418,3.11454,1.1271,0.000375835,0.000375835,0.000375835
18,58.7475,1.30172,2.24741,1.23302,0.03056,0.78261,0.558,0.41304,1.42079,3.06582,1.13358,0.000387061,0.000387061,0.000387061
19,62.0651,1.49599,2.22174,1.24315,0.03056,0.78261,0.558,0.41304,1.42079,3.06582,1.13358,0.000396966,0.000396966,0.000396966
20,65.8227,1.14199,2.09929,1.15283,0.03056,0.78261,0.558,0.41304,1.42079,3.06582,1.13358,0.000405551,0.000405551,0.000405551
21,68.8543,1.32083,2.23618,1.26168,0.02775,0.73913,0.55279,0.42224,1.44712,2.98716,1.13982,0.000412816,0.000412816,0.000412816
22,71.8253,1.30736,2.13624,1.27436,0.02775,0.73913,0.55279,0.42224,1.44712,2.98716,1.13982,0.00041876,0.00041876,0.00041876
23,74.8743,1.27077,1.99868,1.12998,0.02775,0.73913,0.55279,0.42224,1.44712,2.98716,1.13982,0.000423385,0.000423385,0.000423385
24,78.4536,1.33878,2.26195,1.18289,0.02775,0.73913,0.55279,0.42224,1.44712,2.98716,1.13982,0.000426689,0.000426689,0.000426689
25,81.5319,1.34108,2.06108,1.24535,0.03056,0.78261,0.5566,0.41235,1.46637,2.88669,1.14954,0.000428672,0.000428672,0.000428672
26,84.3852,1.32014,2.02678,1.20195,0.03056,0.78261,0.5566,0.41235,1.46637,2.88669,1.14954,0.000429336,0.000429336,0.000429336
27,87.235,1.26826,1.93353,1.12507,0.03056,0.78261,0.5566,0.41235,1.46637,2.88669,1.14954,0.000428679,0.000428679,0.000428679
28,90.0335,1.35667,2.15043,1.20179,0.03056,0.78261,0.5566,0.41235,1.46637,2.88669,1.14954,0.000426702,0.000426702,0.000426702
29,92.9496,1.15709,1.91789,1.07954,0.03056,0.78261,0.5566,0.41235,1.46637,2.88669,1.14954,0.000423405,0.000423405,0.000423405
30,95.9378,1.25352,1.95297,1.14791,0.03211,0.80435,0.64441,0.44559,1.54925,2.67523,1.16156,0.000418787,0.000418787,0.000418787
31,99.2217,1.13535,1.76824,1.15323,0.03211,0.80435,0.64441,0.44559,1.54925,2.67523,1.16156,0.000412849,0.000412849,0.000412849
32,102.026,1.25723,2.00922,1.19375,0.03211,0.80435,0.64441,0.44559,1.54925,2.67523,1.16156,0.000405591,0.000405591,0.000405591
33,104.931,1.2117,1.83077,1.17559,0.03211,0.80435,0.64441,0.44559,1.54925,2.67523,1.16156,0.000397013,0.000397013,0.000397013
34,107.925,1.36327,1.93645,1.24173,0.03211,0.80435,0.64441,0.44559,1.54925,2.67523,1.16156,0.000387114,0.000387114,0.000387114
35,110.834,1.38314,1.97245,1.26702,0.03211,0.80435,0.64441,0.44559,1.54925,2.67523,1.16156,0.000375895,0.000375895,0.000375895
36,113.816,1.30846,1.86281,1.29438,0.66147,0.67391,0.67495,0.47064,1.57238,2.40678,1.12929,0.000363356,0.000363356,0.000363356
37,117.327,1.04472,1.67521,1.07482,0.66147,0.67391,0.67495,0.47064,1.57238,2.40678,1.12929,0.000349497,0.000349497,0.000349497
38,120.512,1.28769,1.62473,1.2054,0.66147,0.67391,0.67495,0.47064,1.57238,2.40678,1.12929,0.000334317,0.000334317,0.000334317
39,124.066,1.25857,1.78405,1.11721,0.66147,0.67391,0.67495,0.47064,1.57238,2.40678,1.12929,0.000317817,0.000317817,0.000317817
40,127.472,1.31077,1.87207,1.27254,0.66147,0.67391,0.67495,0.47064,1.57238,2.40678,1.12929,0.000299997,0.000299997,0.000299997
41,130.521,1.21287,1.56142,1.16008,0.66147,0.67391,0.67495,0.47064,1.57238,2.40678,1.12929,0.000280856,0.000280856,0.000280856
42,133.97,1.09868,1.61061,1.14281,0.66147,0.67391,0.67495,0.47064,1.57238,2.40678,1.12929,0.000260395,0.000260395,0.000260395
43,137.233,1.26361,1.55948,1.16127,0.78464,0.66704,0.68693,0.46765,1.56392,2.16162,1.11868,0.000238614,0.000238614,0.000238614
44,140.668,1.10533,1.50578,1.11743,0.78464,0.66704,0.68693,0.46765,1.56392,2.16162,1.11868,0.000215513,0.000215513,0.000215513
45,144.308,1.09939,1.40826,1.03593,0.78464,0.66704,0.68693,0.46765,1.56392,2.16162,1.11868,0.000191092,0.000191092,0.000191092
46,147.656,1.12965,1.51322,1.10313,0.78464,0.66704,0.68693,0.46765,1.56392,2.16162,1.11868,0.00016535,0.00016535,0.00016535
47,150.946,1.19305,1.72669,1.16211,0.78464,0.66704,0.68693,0.46765,1.56392,2.16162,1.11868,0.000138288,0.000138288,0.000138288
48,154.469,1.31392,1.55035,1.26218,0.78464,0.66704,0.68693,0.46765,1.56392,2.16162,1.11868,0.000109905,0.000109905,0.000109905
49,157.792,1.20131,1.54493,1.21176,0.78464,0.66704,0.68693,0.46765,1.56392,2.16162,1.11868,8.02027e-05,8.02027e-05,8.02027e-05
50,161.556,1.01333,1.39287,1.06989,0.78464,0.66704,0.68693,0.46765,1.56392,2.16162,1.11868,4.91798e-05,4.91798e-05,4.91798e-05
