epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.70279,1.82165,3.05888,1.56211,0.02165,0.65217,0.30401,0.19134,1.45397,3.13186,1.0179,1.667e-05,1.667e-05,1.667e-05
2,5.16246,1.56545,2.9707,1.42338,0.02011,0.63043,0.49114,0.3211,1.41579,3.13778,1.00375,4.95149e-05,4.95149e-05,4.95149e-05
3,7.43876,1.63048,2.88962,1.52886,0.01878,0.6087,0.54252,0.37464,1.39992,3.13712,0.99067,8.16997e-05,8.16997e-05,8.16997e-05
4,9.86371,1.63548,2.91863,1.49599,0.01904,0.6087,0.54189,0.37297,1.4274,3.13322,0.99443,0.000113224,0.000113224,0.000113224
5,12.0075,1.56273,2.94076,1.37195,0.01894,0.6087,0.5406,0.40221,1.43936,3.10803,0.99148,0.000144089,0.000144089,0.000144089
6,14.2704,1.81747,2.91011,1.55131,0.01894,0.6087,0.5406,0.40221,1.43936,3.10803,0.99148,0.000174293,0.000174293,0.000174293
7,17.634,1.33478,2.72143,1.26906,0.01909,0.6087,0.5455,0.43611,1.3948,3.12211,0.99995,0.000203837,0.000203837,0.000203837
8,21.2522,1.39818,2.70408,1.2671,0.02772,0.73913,0.55568,0.45323,1.35123,3.16767,1.0331,0.000232722,0.000232722,0.000232722
9,25.0275,1.58232,2.73239,1.3162,0.02772,0.73913,0.55568,0.45323,1.35123,3.16767,1.0331,0.000260946,0.000260946,0.000260946
10,29.041,1.44984,2.688,1.3032,0.02632,0.71739,0.55857,0.44715,1.40692,3.17473,1.08962,0.000288509,0.000288509,0.000288509
11,32.9283,1.38326,2.49933,1.39505,0.02632,0.71739,0.55857,0.44715,1.40692,3.17473,1.08962,0.000315413,0.000315413,0.000315413
