epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.1008,1.77502,3.23856,1.45991,0.0231,0.30435,0.12033,0.06797,1.60971,3.39043,1.05786,1.667e-05,1.667e-05,1.667e-05
2,5.90969,1.75059,3.49965,1.24365,0.01846,0.26087,0.10139,0.06274,1.57823,3.38804,1.04709,4.95149e-05,4.95149e-05,4.95149e-05
3,8.41569,1.55705,3.1752,1.37307,0.01429,0.21739,0.09535,0.0599,1.56956,3.38546,1.0371,8.16997e-05,8.16997e-05,8.16997e-05
4,11.3532,1.58898,3.27069,1.26411,0.01639,0.26087,0.09025,0.05475,1.58163,3.39554,1.03363,0.000113224,0.000113224,0.000113224
5,14.2616,1.35684,3.20765,1.16912,0.01847,0.30435,0.09543,0.04555,1.67605,3.39246,1.04067,0.000144089,0.000144089,0.000144089
6,17.6217,0.73345,13.8141,0.59945,0.01847,0.30435,0.09543,0.04555,1.67605,3.39246,1.04067,0.000174293,0.000174293,0.000174293
7,21.4548,1.41219,3.075,1.2984,0.02406,0.3913,0.14124,0.05896,1.69227,3.3809,1.03751,0.000203837,0.000203837,0.000203837
8,24.9477,1.40864,2.95513,1.11639,0.02356,0.3913,0.1852,0.0902,1.68445,3.33038,1.03126,0.000232722,0.000232722,0.000232722
9,28.3527,1.5679,2.95228,1.12575,0.02356,0.3913,0.1852,0.0902,1.68445,3.33038,1.03126,0.000260946,0.000260946,0.000260946
10,31.7342,1.44261,2.92439,1.13738,0.02618,0.43478,0.26068,0.13496,1.73138,3.303,1.05725,0.000288509,0.000288509,0.000288509
11,35.6412,1.1625,2.36687,1.10691,0.02618,0.43478,0.26068,0.13496,1.73138,3.303,1.05725,0.000315413,0.000315413,0.000315413
12,39.4412,1.25782,2.83411,1.15862,0.02813,0.47826,0.33216,0.15803,1.79974,3.32891,1.10805,0.000341657,0.000341657,0.000341657
13,42.7473,1.23357,2.67492,1.09779,0.02813,0.47826,0.33216,0.15803,1.79974,3.32891,1.10805,0.00036724,0.00036724,0.00036724
14,46.1862,1.49418,2.32106,1.06921,0.02813,0.47826,0.33216,0.15803,1.79974,3.32891,1.10805,0.000392163,0.000392163,0.000392163
15,49.7628,1.47465,2.29251,1.09401,0.02799,0.47826,0.34236,0.16821,1.75592,3.33719,1.1332,0.000416427,0.000416427,0.000416427
16,53.2844,1.11896,4.33198,1.15451,0.02799,0.47826,0.34236,0.16821,1.75592,3.33719,1.1332,0.00044003,0.00044003,0.00044003
17,57.6989,1.54591,2.10447,1.1654,0.02799,0.47826,0.34236,0.16821,1.75592,3.33719,1.1332,0.000462973,0.000462973,0.000462973
18,62.0989,1.33808,2.04015,1.16887,0.02494,0.43478,0.26851,0.12879,1.82737,3.27575,1.18993,0.000485255,0.000485255,0.000485255
19,66.4065,1.50296,1.97432,1.20504,0.02494,0.43478,0.26851,0.12879,1.82737,3.27575,1.18993,0.000506878,0.000506878,0.000506878
20,69.6739,1.21395,1.85682,1.09916,0.02494,0.43478,0.26851,0.12879,1.82737,3.27575,1.18993,0.000527841,0.000527841,0.000527841
21,73.4011,1.46704,2.17599,1.20861,0.02864,0.52174,0.24007,0.12639,1.77926,3.13685,1.13827,0.000548143,0.000548143,0.000548143
22,76.8846,1.31073,1.65752,1.21521,0.02864,0.52174,0.24007,0.12639,1.77926,3.13685,1.13827,0.000567785,0.000567785,0.000567785
23,80.1922,1.38133,1.77406,1.08432,0.02864,0.52174,0.24007,0.12639,1.77926,3.13685,1.13827,0.000586767,0.000586767,0.000586767
